Removed Pin From Net: NetName=GND Pin=J4-3
Change Component Footprint: Designator=J4 Old Footprint=CUI-PJ-102B_V New Footprint=FP-PJ-102A-MFG
Change Component Comment : Designator=J4 Old Comment=PJ-102B New Comment=PJ-102A
Change Component Designator: OldDesignator=  NewDesignator=P1
Change Component Designator: OldDesignator= NewDesignator=R3
Change Component Designator: OldDesignator=  NewDesignator=R4
Change Component Designator: OldDesignator=Rx NewDesignator=D1
Change Component Designator: OldDesignator=Tx NewDesignator=D2
Change Component Designator: OldDesignator=USB NewDesignator=D3
Change Managed Component Library Link : Designator=J4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=18CCD6EC-B242-4941-8F32-F59CD4FFB4A4 New ItemGUID=80EE9AF9-24BD-4CC5-9526-C0900B821B13 Old RevisionGUID=4AE1D774-0661-441D-994E-5DBE3B0AC1D8 New RevisionGUID=2A91736E-1263-4C40-B12A-703DFEA5CB6A
Change component parameters: Designator = "J4" ("J4"); Footprint = "CUI-PJ-102B_V"; UniqueID = "\HGXTOQKH" ("\HGXTOQKH")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.cui.com/product/resource/pj-102a.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Tin,Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "2.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Power Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN PWR JACK 2X5.5MM SOLDER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "11.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Industry Recognized Mating Diameter"; Value = "2.10mm ID (0.083"), 5.50mm OD (0.217")"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CUI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "PJ-102A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "DC Power Connectors Power Jacks"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions/Contacts"; Value = "2 Conductors, 3 Contacts"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/pj-102a-cui-286936"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PJ-102A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-25°C to +85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-25°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "24V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=J4-2
Added Member To Class: ClassName=led_driver Member=Component R4 RES BOURNS CR0603AFX-1002EAS
Added Room: Name=led_driver
